,firstName,lastName,serviceAddress,middleName
0,THIERRY,VANDAL,"{'line1': 'C/O 450 - 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",
1,WILLIAM,JOHNSON,"{'line1': 'C/O 450-1ST STREET SW', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",D.
2,DAVID,MACNAUGHTON,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",
3,SUSAN,JONES,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",C.
4,MICHAEL,CULBERT,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",R.
5,FRANCOIS,POIRIER,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",L.
6,DHEERAJ,VERMA,"{'line1': 'C/O 450 - 1ST STREET SW', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",
7,CHERYL,CAMPBELL,"{'line1': 'C/O 450 - 1ST STREET SW', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",
8,MARY,SALOMONE,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",PAT
9,JOHN,LOWE,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",E.
10,SIIM,VANASELJA,"{'line1': 'C/O 450 – 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",A.
11,INDIRA,SAMARASEKERA,"{'line1': 'C/O 450 - 1ST STREET S.W.', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",V.
12,UNA,POWER,"{'line1': 'C/O 450 - 1ST STREET SW', 'city': 'CALGARY', 'subdivisionCode': 'AB', 'subdivisionName': 'Alberta', 'postalCode': 'T2P 5H1', 'countryCode': 'CA', 'countryName': 'Canada'}",
