,firstName,lastName,serviceAddress,middleName
0,ELLIOTT,PEW,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
1,PAUL,BRINK,"{'line1': '199 BAY STREET', 'line2': 'SUITE 2000, COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
2,MAUREEN,JENSEN,"{'line1': '199 BAY STREET', 'line2': 'SUITE 2000, COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
3,JACQUES,PERRON,"{'line1': '199 BAY STREET', 'line2': 'SUITE 2000, COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
4,DAVID,HARQUAIL,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
5,RANDALL,OLIPHANT,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
6,LOUIS,GIGNAC,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",P.
7,DEREK,EVANS,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",W.
8,THOMAS,ALBANESE,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
9,CATHARINE,FARROW,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
10,JENNIFER,MAKI,"{'line1': '199 BAY STREET, SUITE 2000', 'line2': 'COMMERCE COURT WEST', 'city': 'TORONTO', 'subdivisionCode': 'ON', 'subdivisionName': 'Ontario', 'postalCode': 'M5L 1G9', 'countryCode': 'CA', 'countryName': 'Canada'}",
